Story,Labels,Story Type,Current State,Created at,Accepted At,Description,Estimate
ERIN:Facebook Page Wall. Add context option to hide a facebook post.,"redmine,redmineID-476,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:38 pm,,"",-1
"ERIN: MAJOR. On Facebook Page Walls, it is giving you the text the user entered for the poset but not the post itself. Happens on links mostly.","redmine,redmineID-475,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:37 pm,,"",-1
"ERIN: Change title of graph download to something more user friendly. Right now it says, ""Download as a vecotor or raster image"". Title only appears on hover.","redmine,redmineID-470,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:33 pm,,"",-1
ERIN: Graphs in the personal accounts are not downloadable as an image.,"redmine,redmineID-469,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:32 pm,,"",-1
ERIN: Twitter personal account needs to have some sort of excel sheet so that you can download all the stats.,"redmine,redmineID-468,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:32 pm,,"",-1
Add favorites to the twitter timeline for a user. So they can favorite the mentions.,"redmine,redmineID-467,redmine-Viralheat Product - Scrum",feature,accepted,02/22/2012 03:31 pm,03/09/2012 03:01 pm,Favorite a tweet from Twitter time line and Twitter mentions.,0
RAJ: Context menu in the mentions has the wrong icons next to it.,"redmine,redmineID-466,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:31 pm,,"",-1
ERIN: Change gear for mentions to something else. Confusing the user.,"redmine,redmineID-465,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:31 pm,,"",-1
ERIN: Work on colors for graphs.�,"redmine,redmineID-462,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:28 pm,,"",-1
"ERIN: All charts, the clickable legend, it needs to be checkmarks or buttons or something.","redmine,redmineID-461,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 03:27 pm,,"",-1
ERIN: Move tools before history in the side nav,"redmine,redmineID-459,redmine-Viralheat Product - Scrum",feature,accepted,02/22/2012 03:21 pm,03/08/2012 09:36 pm,"",0
When publishing messages from the queue OAuth Exceptions do not invalidate the respective account,"redmine,redmineID-458,redmine-Viralheat Product - Scrum",bug,accepted,02/22/2012 02:19 pm,03/01/2012 04:01 pm,"This works for other methods of publishing, just not from the queue.",0
Refactor: Exception handling code for publishing has duplicate code in various places,"redmine,redmineID-457,redmine-Viralheat Product - Scrum",bug,unscheduled,02/22/2012 02:18 pm,,"",-1
Backend - Elastic Search cannot currently track domain names.,"redmine,redmineID-456,redmine-Viralheat Product - Scrum",bug,unscheduled,02/22/2012 11:07 am,,"",-1
Admin should be able to assume to be any user.,"redmine,redmineID-455,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 10:48 am,,"",-1
Account list page should have a short summary on the top?,"redmine,redmineID-454,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 10:47 am,,"How many accounts are connected.
If there are issues with any of the connected accounts?

This will help the user fix those issues and no open support tickets which will be really hard to track.",-1
Test to see what happens if the user goes inside Facebook and removes the Viralheat app?,"redmine,redmineID-453,redmine-Viralheat Product - Scrum",bug,unscheduled,02/22/2012 10:32 am,,"",-1
User login succeptible to brute force,"redmine,redmineID-452,redmine-Viralheat Product - Scrum",bug,unscheduled,02/22/2012 10:21 am,,"",-1
